District,latitude,longitude
Central and Western,22.273022,114.149881
Eastern,22.273389,114.236078
Southern,22.243216,114.197440
Wan Chai,22.276022,114.175147
Sham Shui Po,22.328590,114.160285
Kowloon City,22.323210,114.185550
Kwun Tong,22.310369,114.222703
Wong Tai Sin,22.342961,114.192981
Yau Tsim Mong,22.311603,114.170688
Islands,22.262800,113.965500
Kwai Tsing,22.354908,114.126099
North,22.500090,114.155800
Sai Kung,22.383689,114.270787
Sha Tin,22.377130,114.197440
Tai Po,22.442328,114.165521
Tsuen Wan,22.369912,114.114431
Tuen Mun,22.390830,113.972513
Yuen Long,22.444538,114.022208
